OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,161834,260412,175335,135401,104682
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,224688,273159,184962,153258,104330
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,200006,249215,169042,138031,87115
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,236763,334228,214304,173594,115705
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,188787,249727,160747,130828,97754
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,198776,263114,175446,142077,102369
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,164695,227038,141067,113320,83641
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,191477,237569,162389,129260,92207
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,161904,260721,175280,135364,105051
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,224823,273386,184925,153249,105185
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,198932,248092,167736,137331,87287
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,235855,333122,213225,172898,115601
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,185533,245450,157847,128580,96626
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,195971,259449,172837,140006,101510
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,162846,224468,139464,112093,82844
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,192086,238177,162888,129840,92945
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,160750,259196,174074,134234,104471
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,222915,271026,183324,151892,104891
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,193319,241119,162842,133650,85116
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,230267,325407,208036,168674,113225
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,180590,238935,153615,125120,94421
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,195021,258287,171897,139346,100939
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,161560,222905,138260,111070,82033
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,188496,233911,159709,127304,91079
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,162396,262423,175810,135508,105497
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,223730,272204,183835,152287,105287
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,195237,243726,164283,134869,85906
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,226468,320393,204478,165721,111311
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,180016,238459,153003,124535,94112
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,191660,253861,169114,136744,99107
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,158169,218172,135477,108660,80288
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,185344,229969,157241,124986,89492
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,159191,257361,172514,132654,103626
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,218869,266210,180036,148826,103059
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,193660,241632,163222,133582,85062
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,221594,313477,200310,161923,108913
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,178259,236105,151664,123248,93008
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,190080,251401,168223,135547,98119
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,159242,219289,136744,109452,80851
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,180862,224061,153892,121966,87385
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,157754,254566,171365,131287,102921
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,217520,264222,179382,147943,102459
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,194767,242469,164751,134362,85566
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,218996,309367,198477,159895,107546
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,177548,234818,151448,122815,92533
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,189123,249759,167689,134840,98144
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,160497,220400,138137,110658,82297
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,180181,222695,153686,121681,87808
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,154397,247876,167755,128566,101582
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,216898,262967,179311,147760,102862
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,192406,238862,163301,132946,85165
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2020-09-01T00:00:00,2020-09-30T23:59:59,Month,2020-09,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,218530,307767,198435,159770,108064
